participant,date,n_fixes,coverage_h,total_distance_km_raw,total_distance_km_filtered,mean_speed_kmh_weighted,time_at_home_h,radius_of_gyration_m,screen_on_h,n_screen_sessions,n_power_events,n_powerdowns,session_max_s,session_min_s,session_mean_s,session_std_s,nocturnal_screen_ons,reported_home_h
gq36edfi,2022-03-25,2276.0,5.24773638888889,13.050508343117007,4.474091894958261,0.8525755799074287,3.9709958333333333,970.6059958545346,0.6840911111111111,16.0,34.0,0.0,1901.325,4.062,153.9205,469.0911008684773,0.0,16.0
gq36edfi,2022-03-26,2877.0,6.318364166666666,9.174136862398333,3.4757404012034065,0.5501013093768982,5.277446111111111,421.16675393883423,1.0240063888888888,8.0,19.0,0.0,1046.504,58.226,460.802875,337.9565071575409,0.0,18.0
gq36edfi,2022-03-27,2584.0,4.4932147222222225,48.183829567033335,8.304710647059238,1.8482781617327102,3.6975286111111108,6409.378081931515,1.539133611111111,28.0,59.0,0.0,1631.48,7.61,197.88860714285713,375.17632172287557,0.0,20.0
gq36edfi,2022-03-28,1626.0,2.6056316666666666,14.96875234449255,2.3542967397965096,0.9035416516902848,2.3635288888888883,1832.9171248394296,1.4832719444444442,30.0,62.0,0.0,801.675,2.354,177.99263333333332,228.98641690426535,0.0,19.0
ubrmuu2r,2022-03-21,7296.0,3.988305,34.0846164997638,17.66764903047809,4.4298640727020855,1.547124722222222,833.5679365853408,4.508618333333334,94.0,191.0,1.0,3418.881,1.794,172.67048936170215,441.45600077662715,0.0,16.0
ubrmuu2r,2022-03-22,11360.0,5.032280555555555,46.71144912474308,27.89678706361875,5.5435675248314915,2.330865833333333,1042.4210016987495,2.8007075,142.0,284.0,0.0,1348.121,0.962,71.00385211267606,156.24512257106613,9.0,14.0
ubrmuu2r,2022-03-23,8957.0,4.579798611111111,51.69486881691258,27.13105360640875,5.924071320644042,1.4752783333333332,1069.173617843095,2.4871930555555553,124.0,248.0,0.0,969.478,1.653,72.20883064516129,171.44897589509,4.0,14.0
ubrmuu2r,2022-03-24,8901.0,5.367406111111111,38.28035529604979,23.283312561825486,4.337907749075762,2.090577222222222,781.9510196334656,3.427615277777778,137.0,274.0,0.0,917.06,0.875,90.06872262773723,190.46638092177108,8.0,12.0
ubrmuu2r,2022-03-25,8178.0,5.058581666666667,36.17523588746831,22.73779282933007,4.494894879163441,1.2731063888888887,1047.745975161603,3.996698611111111,152.0,304.0,0.0,3250.841,1.561,94.65865131578947,317.87189366658737,9.0,12.0
ubrmuu2r,2022-03-26,13066.0,4.250091111111111,61.98500783042549,24.399360069424578,5.74090282573867,3.0992308333333334,1861.584237252766,3.1952994444444447,101.0,204.0,1.0,1040.039,1.741,113.89186138613863,199.22379053100207,0.0,10.0
