participant,sigma_m,seed,time_at_home_h,time_at_home_h_ratio,radius_of_gyration_m,radius_of_gyration_m_ratio,total_distance_km,total_distance_km_ratio,mean_speed_kmh,mean_speed_kmh_ratio,location_entropy,location_entropy_ratio,n_significant_places,n_significant_places_ratio,home_displacement_m
bn4j8yj9,800.0,2,0.0078653125,0.002337875326567809,1407.8767825705097,1.7999907160399908,51.90180901462962,10.48402669431102,21.70829609395589,15.123931489446607,0.3616206958754984,0.5730727075498259,31.0,1.8235294117647058,28.111185497936194
bn4j8yj9,800.0,3,0.043168020833333334,0.012831206745188464,1403.3129113254656,1.7941557410109388,51.08357863749692,10.318746345151371,21.39965981182177,14.908907981109001,0.25828144215760074,0.409307451302758,24.0,1.411764705882353,24.08861049816374
bn4j8yj9,800.0,4,0.04387072916666667,0.013040078862383248,1405.7875958625273,1.7973196607850157,51.8987397365172,10.483406708336084,22.246028104271808,15.498563475692853,0.3349787693804497,0.5308523337576204,24.0,1.411764705882353,5.125494470457866
gq36edfi,0.0,0,3.1882231746031744,1.0,1837.467610704961,1.0,4.584038387282767,1.0,1.213311378927567,1.0,1.3091804406464678,1.0,23.0,1.0,0.0
gq36edfi,10.0,0,3.1882232142857143,1.0000000124466004,1837.4523066575396,0.9999916711198976,34.86402298759939,7.60552596686813,8.994323187231998,7.413037859400927,1.2121777845758972,0.9259058162962845,20.0,0.8695652173913043,0.1574274894346409
gq36edfi,10.0,1,3.1882628571428566,1.0000124466003504,1837.5653032516425,1.000053166948964,35.08515969650144,7.653766555235701,9.060431270617732,7.467523529389588,1.2577338468947685,0.9607032062545212,21.0,0.9130434782608695,0.15560411780199665
gq36edfi,10.0,2,3.1883025793650788,1.0000249056473012,1837.51805971946,1.0000274557299433,34.73871341299713,7.578189901151512,8.959439040061701,7.384286668423776,1.240541742944031,0.9475712471929819,21.0,0.9130434782608695,0.13057511174784175
gq36edfi,10.0,3,3.1882628571428566,1.0000124466003504,1837.4415127340542,0.9999857967722778,34.76674438592846,7.5843048091350695,8.962599022778093,7.386891096908726,1.2473329426368722,0.952758614405318,22.0,0.9565217391304348,0.1532344803712318
gq36edfi,10.0,4,3.188143809523809,0.9999751067992989,1837.4962915394315,1.000015608892534,34.81794033679198,7.595473116757787,8.97566926126406,7.397663466403454,1.259572821070651,0.9621078821256138,21.0,0.9130434782608695,0.08270949177640453
gq36edfi,25.0,0,3.1877823809523806,0.9998617431633064,1837.878274957519,1.0002234946891937,52.698775413001286,11.496146183941315,13.917147598692525,11.470384140791413,1.1999802177246914,0.9165888677134119,20.0,0.8695652173913043,0.354754357328537
gq36edfi,25.0,1,3.187907222222222,0.9999009001680091,1838.3546091586777,1.000482728755897,52.9088176932263,11.541966541992355,13.95447585675935,11.501149745330473,1.2266244006088738,0.9369406710683608,21.0,0.9130434782608695,0.3569151603740114
gq36edfi,25.0,2,3.1881427777777773,0.9999747831876897,1837.9134926344173,1.0002426611097026,53.40703773076235,11.650652376499814,14.08724040672163,11.610573057654163,1.2209923025695766,0.9326386681782809,20.0,0.8695652173913043,0.33397133989631045
gq36edfi,25.0,3,3.1877029761904763,0.9998368375160052,1837.9494307393168,1.000262219606783,53.29697231328006,11.626641797140872,14.05826243573163,11.586689682377807,1.2104739845490762,0.9246043913941682,21.0,0.9130434782608695,1.072129192475294
gq36edfi,25.0,4,3.187944325396825,0.9999125377393369,1838.1325503216108,1.0003618782789834,52.69277115746938,11.494836366041762,13.962495603269845,11.507759546120097,1.1798568374366245,0.9012178923586852,20.0,0.8695652173913043,0.30743998257845156
gq36edfi,50.0,0,2.760077063492063,0.865710118876982,1840.340143296915,1.001563310599446,77.52057344118205,16.910978244912368,20.59345958484531,16.972938639253222,1.1612764608534907,0.8870255197824811,19.0,0.8260869565217391,0.808272372234706
gq36edfi,50.0,1,2.7682,0.8682579130755321,1839.9965515393385,1.001376318591764,77.8537736944019,16.983665300532195,20.61700364991948,16.99234343960627,1.1505084949448838,0.8788005527922245,18.0,0.782608695652174,0.34128563716093396
gq36edfi,50.0,2,2.7764157936507936,0.8708348323189022,1839.3911870165014,1.0010468627040463,76.94134161584036,16.784619829819547,20.448940613616344,16.853827441798945,1.179673202864541,0.9010776255426053,17.0,0.7391304347826086,0.7765947053217634
gq36edfi,50.0,3,2.8730505555555554,0.9011447437060779,1840.4698345247518,1.0016338921036214,76.80349060873232,16.754547872418303,20.482193706963233,16.88123433332277,1.1320916508087744,0.8647330922922682,18.0,0.782608695652174,0.9683398294992894
